40   
6
16
1       13.00   1.00    1
2       36.00   1.00    1
3       40.00   1.00    1
4       52.00   1.00    1
5       40.00   1.00    1
6       29.00   1.00    1
7       6.00    1.00    2
8       6.00    1.00    2
9       11.00   1.00    2
10      12.00   1.00    2
11      6.00    1.00    2
12      10.00   1.00    2
13      5.00    1.00    3
14      5.00    1.00    3
15      10.00   1.00    3
16      4.00    1.00    3
17      7.00    1.00    3
18      5.00    1.00    3
19      4.00    1.00    3
20      4.00    1.00    4
21      4.00    1.00    4
22      5.00    1.00    4
23      3.00    1.00    4
24      3.00    1.00    4
25      4.00    1.00    4
26      3.00    1.00    4
27      3.00    1.00    5
28      2.00    1.00    5
29      2.00    1.00    5
30      2.00    1.00    5
31      3.00    1.00    5
32      2.00    1.00    5
33      1.00    1.00    6
34      1.00    1.00    6
35      1.00    1.00    6
36      1.00    1.00    6
37      1.00    1.00    6
38      1.00    1.00    6
39      1.00    1.00    6
40      1.00    1.00    6
57
7       1       1.00    1.00
8       1       1.00    1.00
7       2       1.00    1.00
8       2       1.00    1.00
9       2       1.00    1.00
10      2       1.00    1.00
7       3       1.00    1.00
8       3       1.00    1.00
9       3       1.00    1.00
11      3       1.00    1.00
12      3       1.00    1.00
7       4       1.00    1.00
8       4       1.00    1.00
9       4       1.00    1.00
10      4       1.00    1.00
11      4       1.00    1.00
12      4       1.00    1.00
9       5       1.00    1.00
10      5       1.00    1.00
11      5       1.00    1.00
12      5       1.00    1.00
10      6       1.00    1.00
11      6       1.00    1.00
12      6       1.00    1.00
13      7       1.00    1.00
14      8       1.00    1.00
15      9       1.00    1.00
16      10      1.00    1.00
17      10      1.00    1.00
18      11      1.00    1.00
18      12      1.00    1.00
19      12      1.00    1.00
20      13      1.00    1.00
20      14      1.00    1.00
21      15      1.00    1.00
22      15      1.00    1.00
23      16      1.00    1.00
23      17      1.00    1.00
24      17      1.00    1.00
25      18      1.00    1.00
26      19      1.00    1.00
27      20      1.00    1.00
27      21      1.00    1.00
28      22      1.00    1.00
29      22      1.00    1.00
30      23      1.00    1.00
30      24      1.00    1.00
31      25      1.00    1.00
32      26      1.00    1.00
33      27      1.00    1.00
34      27      1.00    1.00
35      28      1.00    1.00
36      29      1.00    1.00
37      30      1.00    1.00
38      31      1.00    1.00
39      31      1.00    1.00
40      32      1.00    1.00


#1  # of items
#2  # of resources
#3  # of periods
#4  items
#5  holding costs
#6  production time per unit
#7  number of ressource that produces the item
#8  product ID component
#9  product ID parent
#10 units of component needed to produce one unit of parent
#11 lead time
